date,tax_name,importance
2021-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-12-25,НДС / акцизы,1.0
2021-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2021-12-31,Конец квартала,0.8
2022-01-25,НДС / акцизы,1.0
2022-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-02-25,НДС / акцизы,1.0
2022-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-03-25,НДС / акцизы,1.0
2022-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-03-31,Конец квартала,0.8
2022-04-25,НДС / акцизы,1.0
2022-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-05-25,НДС / акцизы,1.0
2022-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-06-25,НДС / акцизы,1.0
2022-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-06-30,Конец квартала,0.8
2022-07-25,НДС / акцизы,1.0
2022-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-08-25,НДС / акцизы,1.0
2022-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-09-25,НДС / акцизы,1.0
2022-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-09-30,Конец квартала,0.8
2022-10-25,НДС / акцизы,1.0
2022-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-11-25,НДС / акцизы,1.0
2022-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-12-25,НДС / акцизы,1.0
2022-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2022-12-31,Конец квартала,0.8
2023-01-25,НДС / акцизы,1.0
2023-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-02-25,НДС / акцизы,1.0
2023-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-03-25,НДС / акцизы,1.0
2023-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-03-31,Конец квартала,0.8
2023-04-25,НДС / акцизы,1.0
2023-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-05-25,НДС / акцизы,1.0
2023-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-06-25,НДС / акцизы,1.0
2023-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-06-30,Конец квартала,0.8
2023-07-25,НДС / акцизы,1.0
2023-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-08-25,НДС / акцизы,1.0
2023-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-09-25,НДС / акцизы,1.0
2023-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-09-30,Конец квартала,0.8
2023-10-25,НДС / акцизы,1.0
2023-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-11-25,НДС / акцизы,1.0
2023-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-12-25,НДС / акцизы,1.0
2023-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2023-12-31,Конец квартала,0.8
2024-01-25,НДС / акцизы,1.0
2024-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-02-25,НДС / акцизы,1.0
2024-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-03-25,НДС / акцизы,1.0
2024-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-03-31,Конец квартала,0.8
2024-04-25,НДС / акцизы,1.0
2024-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-05-25,НДС / акцизы,1.0
2024-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-06-25,НДС / акцизы,1.0
2024-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-06-30,Конец квартала,0.8
2024-07-25,НДС / акцизы,1.0
2024-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-08-25,НДС / акцизы,1.0
2024-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-09-25,НДС / акцизы,1.0
2024-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-09-30,Конец квартала,0.8
2024-10-25,НДС / акцизы,1.0
2024-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-11-25,НДС / акцизы,1.0
2024-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-12-25,НДС / акцизы,1.0
2024-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2024-12-31,Конец квартала,0.8
2025-01-25,НДС / акцизы,1.0
2025-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-02-25,НДС / акцизы,1.0
2025-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-03-25,НДС / акцизы,1.0
2025-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-03-31,Конец квартала,0.8
2025-04-25,НДС / акцизы,1.0
2025-04-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-05-25,НДС / акцизы,1.0
2025-05-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-06-25,НДС / акцизы,1.0
2025-06-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-06-30,Конец квартала,0.8
2025-07-25,НДС / акцизы,1.0
2025-07-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-08-25,НДС / акцизы,1.0
2025-08-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-09-25,НДС / акцизы,1.0
2025-09-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-09-30,Конец квартала,0.8
2025-10-25,НДС / акцизы,1.0
2025-10-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-11-25,НДС / акцизы,1.0
2025-11-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-12-25,НДС / акцизы,1.0
2025-12-28,ЕНП / налог на прибыль / страховые взносы,1.0
2025-12-31,Конец квартала,0.8
2026-01-25,НДС / акцизы,1.0
2026-01-28,ЕНП / налог на прибыль / страховые взносы,1.0
2026-02-25,НДС / акцизы,1.0
2026-02-28,ЕНП / налог на прибыль / страховые взносы,1.0
2026-03-25,НДС / акцизы,1.0
2026-03-28,ЕНП / налог на прибыль / страховые взносы,1.0
2026-03-31,Конец квартала,0.8
