date,actual_balances_bln,required_reserves_bln,accounting_reserves_bln,ruonia
2014-04-07,1180.96,981.85,176.73,7.692
2014-04-08,1101.58,981.23,176.62,7.499
2014-04-09,1141.27,980.62,176.51,7.743
2014-04-10,1111.84,980.02,176.4,7.663
2014-04-11,1112.98,979.42,176.3,7.744
2014-04-12,1123.25,978.83,176.19,7.89
2014-04-13,1103.85,978.25,176.09,7.602
2014-04-14,1070.55,977.68,175.98,7.677
2014-04-15,1030.14,977.12,175.88,7.493
2014-04-16,1066.06,976.57,175.78,7.656
2014-04-17,1085.67,976.04,175.69,7.642
2014-04-18,1123.42,975.52,175.59,7.981
2014-04-19,1141.27,975.01,175.5,8.066
2014-04-20,1119.87,974.51,175.41,7.667
2014-04-21,1138.66,974.03,175.33,7.869
2014-04-22,1098.59,973.57,175.24,7.861
2014-04-23,1111.35,973.12,175.16,7.835
2014-04-24,1109.56,972.69,175.08,7.807
2014-04-25,1130.31,972.27,175.01,8.004
2014-04-26,1060.08,971.88,174.94,7.873
2014-04-27,1089.37,971.5,174.87,7.872
2014-04-28,1121.33,971.15,174.81,7.788
2014-04-29,1141.11,970.81,174.75,7.992
2014-04-30,1117.86,970.49,174.69,7.843
2014-05-01,1112.39,970.19,174.63,7.822
2014-05-02,1142.24,969.92,174.59,7.98
2014-05-03,1151.66,969.66,174.54,7.924
2014-05-04,1131.5,969.43,174.5,7.968
2014-05-05,1153.15,969.22,174.46,7.845
2014-05-06,1107.62,969.03,174.43,7.55
2014-05-07,1128.08,968.87,174.4,7.755
2014-05-08,1106.51,968.73,174.37,7.508
2014-05-09,1093.51,968.61,174.35,7.586
2014-05-10,1092.29,968.51,174.33,7.49
2014-05-11,1105.23,968.44,174.32,7.46
2014-05-12,1088.46,968.4,174.31,7.28
2014-05-13,1091.85,968.37,174.31,7.533
2014-05-14,1059.85,968.38,174.31,7.501
2014-05-15,1106.08,968.4,174.31,7.421
2014-05-16,1046.09,968.45,174.32,7.487
2014-05-17,1054.78,968.53,174.33,7.584
2014-05-18,1129.33,968.63,174.35,7.802
2014-05-19,1163.96,968.75,174.37,7.878
2014-05-20,1104.23,968.9,174.4,7.999
2014-05-21,1092.92,969.07,174.43,7.768
2014-05-22,1090.44,969.27,174.47,7.669
2014-05-23,1135.2,969.48,174.51,7.542
2014-05-24,1034.31,969.73,174.55,7.767
2014-05-25,1073.05,969.99,174.6,7.541
2014-05-26,1155.64,970.28,174.65,7.525
2014-05-27,1110.49,970.6,174.71,7.511
2014-05-28,1076.53,970.93,174.77,7.636
2014-05-29,1104.62,971.29,174.83,7.849
2014-05-30,1112.82,971.67,174.9,7.749
2014-05-31,1136.63,972.07,174.97,7.647
2014-06-01,1165.78,972.49,175.05,7.445
2014-06-02,1141.48,972.94,175.13,7.303
2014-06-03,1128.71,973.4,175.21,7.455
2014-06-04,1165.26,973.88,175.3,7.574
2014-06-05,1069.36,974.38,175.39,7.611
2014-06-06,1067.92,974.9,175.48,7.423
2014-06-07,1056.79,975.44,175.58,7.46
2014-06-08,1064.67,976.0,175.68,7.184
2014-06-09,1081.58,976.57,175.78,7.037
2014-06-10,1076.13,977.16,175.89,7.072
2014-06-11,1108.2,977.77,176.0,7.167
2014-06-12,1072.78,978.39,176.11,7.577
2014-06-13,1026.57,979.02,176.22,7.231
2014-06-14,1068.2,979.67,176.34,7.364
2014-06-15,1075.32,980.33,176.46,7.057
2014-06-16,1066.28,981.0,176.58,7.212
2014-06-17,1106.56,981.69,176.7,7.154
2014-06-18,1123.13,982.38,176.83,7.405
2014-06-19,1149.75,983.09,176.96,7.486
2014-06-20,1124.24,983.8,177.08,7.42
2014-06-21,1118.85,984.53,177.21,7.486
2014-06-22,1097.58,985.26,177.35,7.279
2014-06-23,1112.09,985.99,177.48,7.121
2014-06-24,1095.38,986.74,177.61,7.122
2014-06-25,1116.25,987.48,177.75,7.362
2014-06-26,1109.11,988.24,177.88,7.597
2014-06-27,1096.77,988.99,178.02,7.434
2014-06-28,1143.95,989.75,178.15,7.335
2014-06-29,1137.28,990.51,178.29,7.285
2014-06-30,1124.75,991.27,178.43,7.341
2014-07-01,1145.24,992.03,178.57,7.218
2014-07-02,1148.06,992.79,178.7,7.208
2014-07-03,1138.79,993.55,178.84,7.456
2014-07-04,1167.22,994.3,178.97,7.382
2014-07-05,1159.31,995.06,179.11,7.449
2014-07-06,1158.72,995.8,179.24,7.188
2014-07-07,1149.33,996.55,179.38,6.953
2014-07-08,1111.45,997.28,179.51,6.693
2014-07-09,1134.74,998.01,179.64,7.121
2014-07-10,1108.45,998.74,179.77,7.196
2014-07-11,1179.16,999.45,179.9,6.975
2014-07-12,1141.69,1000.16,180.03,6.885
2014-07-13,1148.03,1000.85,180.15,7.008
2014-07-14,1132.74,1001.54,180.28,6.634
2014-07-15,1150.89,1002.21,180.4,6.667
2014-07-16,1086.92,1002.87,180.52,6.918
2014-07-17,1041.51,1003.52,180.63,6.859
2014-07-18,1151.45,1004.15,180.75,7.164
2014-07-19,1167.07,1004.77,180.86,7.079
2014-07-20,1152.05,1005.38,180.97,7.041
2014-07-21,1149.41,1005.97,181.07,7.104
2014-07-22,1167.98,1006.54,181.18,6.954
2014-07-23,1144.06,1007.1,181.28,7.087
2014-07-24,1151.28,1007.64,181.37,6.831
2014-07-25,1112.52,1008.16,181.47,7.079
2014-07-26,1110.04,1008.66,181.56,6.918
2014-07-27,1172.05,1009.14,181.65,6.775
2014-07-28,1142.52,1009.6,181.73,6.751
2014-07-29,1131.59,1010.05,181.81,6.825
2014-07-30,1137.66,1010.47,181.88,7.042
2014-07-31,1143.87,1010.87,181.96,6.841
2014-08-01,1149.89,1011.25,182.02,7.012
2014-08-02,1144.82,1011.61,182.09,6.886
2014-08-03,1147.53,1011.94,182.15,6.808
2014-08-04,1183.34,1012.26,182.21,6.903
2014-08-05,1111.0,1012.55,182.26,6.606
2014-08-06,1153.88,1012.81,182.31,6.77
2014-08-07,1140.28,1013.06,182.35,6.659
2014-08-08,1142.66,1013.27,182.39,6.604
2014-08-09,1122.0,1013.47,182.42,6.597
2014-08-10,1135.71,1013.64,182.46,6.556
2014-08-11,1144.84,1013.79,182.48,6.485
2014-08-12,1149.74,1013.91,182.5,6.344
2014-08-13,1127.7,1014.01,182.52,6.554
2014-08-14,1148.17,1014.09,182.54,6.639
2014-08-15,1118.37,1014.14,182.54,6.924
2014-08-16,1128.79,1014.16,182.55,6.785
2014-08-17,1093.39,1014.17,182.55,6.362
2014-08-18,1127.08,1014.14,182.55,6.617
2014-08-19,1165.94,1014.1,182.54,6.487
2014-08-20,1169.65,1014.03,182.52,6.662
2014-08-21,1160.84,1013.93,182.51,6.84
2014-08-22,1153.04,1013.81,182.49,6.959
2014-08-23,1132.9,1013.67,182.46,6.665
2014-08-24,1121.03,1013.51,182.43,6.579
2014-08-25,1150.58,1013.32,182.4,6.339
2014-08-26,1148.95,1013.11,182.36,6.589
2014-08-27,1129.76,1012.88,182.32,6.552
2014-08-28,1170.32,1012.62,182.27,6.687
2014-08-29,1131.43,1012.35,182.22,6.658
2014-08-30,1143.84,1012.05,182.17,6.691
2014-08-31,1199.14,1011.73,182.11,6.399
2014-09-01,1189.06,1011.4,182.05,6.373
2014-09-02,1168.92,1011.04,181.99,6.818
2014-09-03,1189.71,1010.66,181.92,6.48
2014-09-04,1192.81,1010.27,181.85,6.576
2014-09-05,1064.2,1009.85,181.77,6.692
2014-09-06,1108.78,1009.42,181.7,6.761
2014-09-07,1130.46,1008.97,181.62,6.179
2014-09-08,1125.19,1008.51,181.53,6.217
2014-09-09,1138.44,1008.03,181.45,6.317
2014-09-10,1156.31,1007.53,181.36,6.557
2014-09-11,1121.39,1007.02,181.26,6.305
2014-09-12,1100.85,1006.5,181.17,6.409
2014-09-13,1125.73,1005.97,181.07,6.473
2014-09-14,1104.89,1005.42,180.98,6.342
2014-09-15,1101.41,1004.86,180.87,6.187
2014-09-16,1090.76,1004.29,180.77,6.232
2014-09-17,1138.7,1003.71,180.67,6.158
2014-09-18,1102.46,1003.12,180.56,6.62
2014-09-19,1136.06,1002.52,180.45,6.633
2014-09-20,1138.13,1001.92,180.35,6.636
2014-09-21,1115.64,1001.31,180.23,6.452
2014-09-22,1148.43,1000.69,180.12,6.519
2014-09-23,1143.7,1000.07,180.01,6.602
2014-09-24,1123.39,999.44,179.9,6.575
2014-09-25,1118.6,998.81,179.79,6.675
2014-09-26,1123.66,998.18,179.67,6.658
2014-09-27,1126.75,997.54,179.56,6.596
2014-09-28,1131.48,996.91,179.44,6.422
2014-09-29,1134.22,996.27,179.33,6.491
2014-09-30,1149.83,995.64,179.21,6.461
2014-10-01,1167.25,995.0,179.1,6.801
2014-10-02,1130.2,994.37,178.99,6.817
2014-10-03,1140.63,993.75,178.87,6.694
2014-10-04,1131.32,993.12,178.76,6.502
2014-10-05,1194.2,992.51,178.65,6.374
2014-10-06,1185.04,991.89,178.54,6.597
2014-10-07,1193.87,991.29,178.43,6.506
2014-10-08,1083.2,990.69,178.32,6.362
2014-10-09,1154.38,990.1,178.22,6.175
2014-10-10,1100.71,989.52,178.11,6.516
2014-10-11,1115.33,988.95,178.01,6.408
2014-10-12,1126.58,988.39,177.91,6.135
2014-10-13,1081.0,987.84,177.81,6.161
2014-10-14,1084.59,987.31,177.72,6.271
2014-10-15,1093.65,986.79,177.62,6.327
2014-10-16,1145.15,986.28,177.53,6.368
2014-10-17,1081.28,985.78,177.44,6.414
2014-10-18,1172.45,985.3,177.35,6.597
2014-10-19,1156.49,984.84,177.27,6.564
2014-10-20,1131.62,984.39,177.19,6.673
2014-10-21,1096.28,983.96,177.11,6.215
2014-10-22,1137.06,983.54,177.04,6.58
2014-10-23,1077.86,983.15,176.97,6.716
2014-10-24,1144.6,982.77,176.9,6.759
2014-10-25,1113.92,982.42,176.83,6.635
2014-10-26,1052.91,982.08,176.77,6.393
2014-10-27,1106.93,981.76,176.72,6.603
2014-10-28,1133.41,981.46,176.66,6.805
2014-10-29,1119.63,981.19,176.61,6.509
2014-10-30,1147.42,980.93,176.57,6.895
2014-10-31,1120.59,980.7,176.53,6.793
2014-11-01,1118.66,980.49,176.49,6.796
2014-11-02,1154.12,980.3,176.45,6.619
2014-11-03,1164.62,980.14,176.42,6.684
2014-11-04,1164.15,980.0,176.4,6.936
2014-11-05,1136.13,979.88,176.38,6.719
2014-11-06,1096.96,979.78,176.36,6.982
2014-11-07,1128.16,979.71,176.35,6.987
2014-11-08,1127.34,979.67,176.34,6.903
2014-11-09,1095.11,979.64,176.34,7.038
2014-11-10,1102.81,979.65,176.34,6.901
2014-11-11,1133.62,979.67,176.34,7.048
2014-11-12,1177.67,979.72,176.35,7.08
2014-11-13,1146.95,979.8,176.36,7.301
2014-11-14,1096.03,979.9,176.38,7.336
2014-11-15,1065.28,980.02,176.4,7.603
2014-11-16,1149.81,980.17,176.43,7.384
2014-11-17,1132.12,980.34,176.46,7.704
2014-11-18,1230.78,980.54,176.5,8.007
2014-11-19,1188.92,980.76,176.54,8.409
2014-11-20,1220.09,981.0,176.58,8.609
2014-11-21,1236.79,981.27,176.63,8.939
2014-11-22,1215.98,981.55,176.68,8.947
2014-11-23,1226.08,981.87,176.74,8.787
2014-11-24,1247.67,982.2,176.8,9.125
2014-11-25,1272.71,982.56,176.86,9.233
2014-11-26,1276.0,982.94,176.93,9.618
2014-11-27,1315.01,983.34,177.0,10.174
2014-11-28,1302.18,983.76,177.08,10.328
2014-11-29,1303.05,984.21,177.16,10.356
2014-11-30,1396.53,984.67,177.24,10.477
2014-12-01,1360.94,985.15,177.33,10.793
2014-12-02,1382.98,985.65,177.42,10.906
2014-12-03,1414.88,986.17,177.51,11.289
2014-12-04,1437.85,986.71,177.61,11.719
2014-12-05,1446.7,987.27,177.71,12.065
2014-12-06,1402.07,987.84,177.81,11.911
2014-12-07,1416.93,988.43,177.92,11.68
2014-12-08,1434.84,989.04,178.03,12.127
2014-12-09,1389.94,989.66,178.14,12.292
2014-12-10,1491.48,990.29,178.25,12.567
2014-12-11,1452.6,990.94,178.37,12.926
2014-12-12,1471.78,991.6,178.49,12.62
2014-12-13,1429.39,992.27,178.61,12.837
2014-12-14,1447.71,992.96,178.73,12.963
2014-12-15,1439.53,993.65,178.86,12.696
2014-12-16,1481.02,994.36,178.98,13.106
2014-12-17,1428.59,995.07,179.11,13.051
2014-12-18,1519.69,995.8,179.24,13.412
2014-12-19,1479.29,996.53,179.37,13.213
2014-12-20,1473.61,997.26,179.51,13.254
2014-12-21,1467.83,998.01,179.64,13.105
2014-12-22,1491.11,998.75,179.78,12.837
2014-12-23,1411.14,999.51,179.91,12.723
2014-12-24,1414.05,1000.26,180.05,12.655
2014-12-25,1390.98,1001.02,180.18,12.43
2014-12-26,1401.38,1001.78,180.32,12.355
2014-12-27,1399.61,1002.54,180.46,12.107
2014-12-28,1374.78,1003.3,180.59,11.881
2014-12-29,1387.56,1004.06,180.73,11.69
2014-12-30,1353.27,1004.82,180.87,11.246
2014-12-31,1369.4,1005.57,181.0,11.215
2015-01-01,1412.53,1006.33,181.14,11.263
2015-01-02,1389.27,1007.07,181.27,10.793
2015-01-03,1378.51,1007.82,181.41,10.509
2015-01-04,1345.86,1008.55,181.54,10.327
2015-01-05,1327.02,1009.28,181.67,10.138
2015-01-06,1327.86,1010.01,181.8,9.85
2015-01-07,1343.2,1010.72,181.93,9.888
2015-01-08,1283.52,1011.43,182.06,9.468
2015-01-09,1273.58,1012.12,182.18,9.304
2015-01-10,1255.99,1012.81,182.31,9.044
2015-01-11,1213.46,1013.48,182.43,9.009
2015-01-12,1217.12,1014.14,182.55,8.5
2015-01-13,1195.91,1014.79,182.66,8.163
2015-01-14,1184.71,1015.42,182.78,8.544
2015-01-15,1220.11,1016.04,182.89,8.256
2015-01-16,1122.98,1016.65,183.0,8.235
2015-01-17,1143.61,1017.24,183.1,8.227
2015-01-18,1233.32,1017.81,183.21,7.952
2015-01-19,1163.43,1018.37,183.31,7.861
2015-01-20,1171.89,1018.91,183.4,7.768
2015-01-21,1166.36,1019.43,183.5,7.881
2015-01-22,1166.75,1019.93,183.59,8.053
2015-01-23,1132.02,1020.41,183.67,8.036
2015-01-24,1177.55,1020.87,183.76,7.911
2015-01-25,1178.25,1021.32,183.84,7.588
2015-01-26,1175.64,1021.74,183.91,7.397
2015-01-27,1147.77,1022.14,183.99,7.676
2015-01-28,1172.65,1022.52,184.05,7.672
2015-01-29,1155.92,1022.88,184.12,7.846
2015-01-30,1174.2,1023.21,184.18,7.883
2015-01-31,1235.23,1023.53,184.23,7.752
2015-02-01,1196.5,1023.82,184.29,7.734
2015-02-02,1174.68,1024.08,184.33,7.612
2015-02-03,1210.74,1024.33,184.38,7.666
2015-02-04,1182.28,1024.55,184.42,7.596
2015-02-05,1119.9,1024.74,184.45,7.489
2015-02-06,1126.44,1024.91,184.48,7.557
2015-02-07,1141.3,1025.06,184.51,7.581
2015-02-08,1171.98,1025.18,184.53,7.353
2015-02-09,1162.91,1025.28,184.55,7.415
2015-02-10,1159.09,1025.36,184.56,7.346
2015-02-11,1119.48,1025.41,184.57,7.448
2015-02-12,1126.65,1025.43,184.58,7.647
2015-02-13,1138.48,1025.44,184.58,7.335
2015-02-14,1111.9,1025.41,184.57,7.372
2015-02-15,1112.38,1025.37,184.57,7.27
2015-02-16,1120.87,1025.3,184.55,7.122
2015-02-17,1096.32,1025.2,184.54,7.347
2015-02-18,1172.26,1025.08,184.52,7.854
2015-02-19,1196.37,1024.94,184.49,7.816
2015-02-20,1152.58,1024.78,184.46,7.901
2015-02-21,1178.54,1024.59,184.43,7.961
2015-02-22,1162.47,1024.38,184.39,7.911
2015-02-23,1116.9,1024.15,184.35,7.696
2015-02-24,1125.42,1023.89,184.3,7.894
2015-02-25,1133.25,1023.62,184.25,7.827
2015-02-26,1136.04,1023.32,184.2,7.801
2015-02-27,1157.32,1023.0,184.14,7.856
2015-02-28,1178.28,1022.67,184.08,7.702
2015-03-01,1198.56,1022.31,184.02,7.693
2015-03-02,1184.39,1021.93,183.95,7.709
2015-03-03,1174.62,1021.54,183.88,7.874
2015-03-04,1145.3,1021.12,183.8,8.068
2015-03-05,1198.9,1020.69,183.72,7.78
2015-03-06,1203.43,1020.24,183.64,8.017
2015-03-07,1211.42,1019.78,183.56,7.797
2015-03-08,1187.08,1019.3,183.47,7.647
2015-03-09,1170.03,1018.8,183.38,7.525
2015-03-10,1160.54,1018.29,183.29,7.345
2015-03-11,1121.13,1017.77,183.2,7.759
2015-03-12,1128.56,1017.24,183.1,7.658
2015-03-13,1133.9,1016.69,183.0,7.69
2015-03-14,1113.82,1016.13,182.9,7.576
2015-03-15,1135.71,1015.56,182.8,7.543
2015-03-16,1125.55,1014.98,182.7,7.622
2015-03-17,1086.21,1014.39,182.59,7.571
2015-03-18,1198.68,1013.79,182.48,7.965
2015-03-19,1166.85,1013.19,182.37,8.05
2015-03-20,1119.16,1012.58,182.26,8.187
2015-03-21,1149.33,1011.96,182.15,7.936
2015-03-22,1150.81,1011.34,182.04,7.716
2015-03-23,1161.33,1010.71,181.93,7.969
2015-03-24,1129.11,1010.08,181.81,7.823
2015-03-25,1152.78,1009.45,181.7,8.076
2015-03-26,1138.2,1008.81,181.59,8.068
2015-03-27,1106.14,1008.18,181.47,8.027
2015-03-28,1106.34,1007.54,181.36,8.032
2015-03-29,1165.85,1006.91,181.24,8.139
2015-03-30,1172.25,1006.27,181.13,8.1
2015-03-31,1158.69,1005.64,181.02,7.879
2015-04-01,1190.74,1005.02,180.9,7.969
2015-04-02,1187.64,1004.39,180.79,8.157
2015-04-03,1186.0,1003.78,180.68,7.946
2015-04-04,1157.17,1003.16,180.57,8.033
2015-04-05,1220.99,1002.56,180.46,7.903
2015-04-06,1199.51,1001.96,180.35,7.889
2015-04-07,1182.95,1001.37,180.25,7.77
2015-04-08,1109.19,1000.79,180.14,7.506
2015-04-09,1130.6,1000.22,180.04,7.525
2015-04-10,1087.78,999.66,179.94,7.658
2015-04-11,1138.05,999.11,179.84,7.681
2015-04-12,1098.38,998.58,179.74,7.612
2015-04-13,1122.92,998.06,179.65,7.824
2015-04-14,1097.57,997.55,179.56,7.741
2015-04-15,1096.61,997.05,179.47,7.569
2015-04-16,1078.51,996.57,179.38,7.801
2015-04-17,1084.01,996.11,179.3,7.727
2015-04-18,1191.47,995.66,179.22,7.935
2015-04-19,1172.98,995.23,179.14,7.901
2015-04-20,1143.47,994.82,179.07,7.896
2015-04-21,1129.11,994.42,179.0,7.796
2015-04-22,1143.31,994.04,178.93,8.039
2015-04-23,1145.94,993.69,178.86,7.848
2015-04-24,1100.57,993.35,178.8,8.001
2015-04-25,1116.36,993.03,178.75,8.254
2015-04-26,1078.72,992.73,178.69,7.877
2015-04-27,1145.72,992.46,178.64,7.964
2015-04-28,1170.01,992.2,178.6,7.817
2015-04-29,1131.11,991.97,178.55,7.949
2015-04-30,1088.35,991.76,178.52,7.945
2015-05-01,1154.98,991.57,178.48,7.945
2015-05-02,1128.63,991.41,178.45,7.812
2015-05-03,1141.0,991.27,178.43,7.864
2015-05-04,1176.3,991.15,178.41,7.65
2015-05-05,1174.57,991.05,178.39,7.846
2015-05-06,1093.95,990.98,178.38,7.718
2015-05-07,1095.13,990.94,178.37,7.703
2015-05-08,1115.74,990.91,178.36,7.637
2015-05-09,1106.16,990.92,178.36,7.665
2015-05-10,1091.54,990.94,178.37,7.479
2015-05-11,1107.93,990.99,178.38,7.567
2015-05-12,1120.59,991.07,178.39,7.247
2015-05-13,1105.73,991.17,178.41,7.497
2015-05-14,1073.9,991.29,178.43,7.369
2015-05-15,1121.11,991.44,178.46,7.44
2015-05-16,1032.72,991.61,178.49,7.721
2015-05-17,1076.31,991.81,178.53,7.569
2015-05-18,1135.49,992.03,178.56,7.563
2015-05-19,1145.54,992.27,178.61,7.48
2015-05-20,1148.23,992.54,178.66,7.374
2015-05-21,1154.99,992.83,178.71,7.734
2015-05-22,1109.85,993.14,178.76,8.1
2015-05-23,1134.93,993.47,178.83,7.798
2015-05-24,1124.21,993.83,178.89,7.583
2015-05-25,1081.59,994.21,178.96,7.642
2015-05-26,1161.9,994.61,179.03,7.409
2015-05-27,1090.77,995.03,179.11,7.629
2015-05-28,1135.4,995.48,179.19,7.745
2015-05-29,1139.77,995.94,179.27,7.732
2015-05-30,1143.34,996.42,179.36,7.774
2015-05-31,1133.32,996.92,179.45,7.623
2015-06-01,1169.88,997.44,179.54,7.598
2015-06-02,1125.1,997.98,179.64,7.444
2015-06-03,1165.68,998.54,179.74,7.702
2015-06-04,1162.08,999.11,179.84,7.857
2015-06-05,1096.3,999.7,179.95,7.304
2015-06-06,1126.45,1000.31,180.06,7.249
2015-06-07,1145.41,1000.93,180.17,7.418
2015-06-08,1117.56,1001.56,180.28,7.17
2015-06-09,1144.27,1002.21,180.4,7.37
2015-06-10,1128.7,1002.87,180.52,7.215
2015-06-11,1107.01,1003.54,180.64,7.51
2015-06-12,1118.62,1004.23,180.76,7.359
2015-06-13,1114.09,1004.92,180.89,7.309
2015-06-14,1100.64,1005.63,181.01,7.368
2015-06-15,1119.83,1006.34,181.14,7.071
2015-06-16,1109.41,1007.07,181.27,7.009
2015-06-17,1062.8,1007.8,181.4,7.135
2015-06-18,1125.02,1008.53,181.54,7.56
2015-06-19,1164.56,1009.28,181.67,7.325
2015-06-20,1131.75,1010.02,181.8,7.524
2015-06-21,1151.67,1010.78,181.94,7.284
2015-06-22,1158.65,1011.53,182.08,7.42
2015-06-23,1111.23,1012.29,182.21,7.003
2015-06-24,1107.26,1013.05,182.35,7.262
2015-06-25,1175.77,1013.81,182.49,7.22
2015-06-26,1148.76,1014.57,182.62,7.331
2015-06-27,1135.33,1015.33,182.76,7.394
2015-06-28,1128.83,1016.09,182.9,7.244
2015-06-29,1144.12,1016.84,183.03,7.169
2015-06-30,1136.03,1017.6,183.17,7.187
2015-07-01,1189.19,1018.34,183.3,7.297
2015-07-02,1160.55,1019.09,183.44,7.218
2015-07-03,1209.64,1019.82,183.57,7.431
2015-07-04,1184.46,1020.55,183.7,7.359
2015-07-05,1177.47,1021.28,183.83,7.227
2015-07-06,1197.36,1021.99,183.96,7.182
2015-07-07,1154.27,1022.7,184.09,7.158
2015-07-08,1143.34,1023.39,184.21,7.183
2015-07-09,1144.86,1024.08,184.33,6.994
2015-07-10,1167.86,1024.75,184.45,6.975
2015-07-11,1107.84,1025.41,184.57,6.855
2015-07-12,1173.06,1026.06,184.69,6.723
2015-07-13,1162.37,1026.69,184.8,6.632
2015-07-14,1167.48,1027.31,184.92,6.682
2015-07-15,1133.42,1027.92,185.03,6.847
2015-07-16,1150.8,1028.51,185.13,6.962
2015-07-17,1089.6,1029.08,185.23,6.935
2015-07-18,1201.0,1029.64,185.33,7.021
2015-07-19,1161.85,1030.18,185.43,7.123
2015-07-20,1136.45,1030.7,185.53,7.038
2015-07-21,1142.76,1031.2,185.62,6.938
2015-07-22,1163.32,1031.68,185.7,6.945
2015-07-23,1141.96,1032.14,185.79,7.156
