date,term_days,demand_bln,allotment_bln,cut_rate,weighted_avg_rate,key_rate
2014-09-06,7,676.34,754.83,6.581,6.506,6.369
2014-09-07,7,955.94,810.04,6.541,6.484,6.363
2014-09-08,7,746.28,772.49,6.423,6.358,6.359
2014-09-09,7,1021.09,879.77,6.548,6.526,6.354
2014-09-10,7,983.32,899.7,6.429,6.384,6.349
2014-09-11,7,766.64,788.79,6.553,6.463,6.345
2014-09-12,7,899.83,837.08,6.482,6.42,6.341
2014-09-13,7,972.97,797.1,6.461,6.335,6.337
2014-09-14,7,965.08,822.85,6.476,6.417,6.333
2014-09-15,7,908.17,900.08,6.684,6.634,6.33
2014-09-16,7,818.48,824.21,6.415,6.456,6.326
2014-09-17,7,882.83,834.42,6.491,6.509,6.323
2014-09-18,7,1025.0,815.59,6.733,6.631,6.32
2014-09-19,7,1219.95,893.09,6.59,6.55,6.317
2014-09-20,7,988.09,743.39,6.537,6.498,6.315
2014-09-21,7,960.96,846.94,6.614,6.553,6.312
2014-09-22,7,1131.41,865.86,6.721,6.663,6.31
2014-09-23,7,1066.7,849.5,6.631,6.563,6.308
2014-09-24,7,1156.08,908.17,6.638,6.682,6.307
2014-09-25,7,1193.74,925.44,6.728,6.657,6.305
2014-09-26,7,1146.6,839.44,6.589,6.556,6.304
2014-09-27,7,1304.67,967.69,6.645,6.469,6.303
2014-09-28,7,1028.75,850.19,6.531,6.522,6.302
2014-09-29,7,1202.92,950.68,6.677,6.686,6.301
2014-09-30,7,1130.93,916.38,6.669,6.566,6.3
2014-10-01,7,1020.79,899.0,6.714,6.638,6.3
2014-10-02,7,1144.89,907.72,6.558,6.531,6.3
2014-10-03,7,1312.98,926.19,6.635,6.586,6.3
2014-10-04,7,1064.91,939.83,6.548,6.522,6.301
2014-10-05,7,1148.11,905.35,6.632,6.567,6.301
2014-10-06,7,1182.32,934.21,6.771,6.814,6.302
2014-10-07,7,1189.74,920.05,6.627,6.544,6.303
2014-10-08,7,884.47,908.9,6.345,6.43,6.304
2014-10-09,7,867.81,926.97,6.401,6.414,6.306
2014-10-10,7,864.01,919.2,6.329,6.32,6.307
2014-10-11,7,1097.03,948.34,6.356,6.254,6.309
2014-10-12,7,953.78,981.46,6.516,6.511,6.312
2014-10-13,7,983.8,973.51,6.349,6.329,6.314
2014-10-14,7,1269.05,1041.01,6.492,6.337,6.317
2014-10-15,7,889.76,896.81,6.473,6.353,6.32
2014-10-16,7,1070.43,992.51,6.432,6.4,6.324
2014-10-17,7,1111.34,977.85,6.497,6.44,6.328
2014-10-18,7,1362.96,1007.33,6.608,6.532,6.332
2014-10-19,7,1171.12,1004.64,6.755,6.759,6.337
2014-10-20,7,1184.34,974.18,6.638,6.544,6.342
2014-10-21,7,1279.51,985.99,6.669,6.596,6.348
2014-10-22,7,1362.26,953.52,6.667,6.584,6.354
2014-10-23,7,1214.78,1000.26,6.77,6.746,6.362
2014-10-24,7,1128.1,911.86,6.767,6.631,6.37
2014-10-25,7,1316.0,1003.27,6.524,6.449,6.379
2014-10-26,7,1294.11,973.36,6.766,6.629,6.389
2014-10-27,7,1276.21,954.86,6.618,6.553,6.4
2014-10-28,7,1169.71,961.14,6.745,6.731,6.413
2014-10-29,7,1196.34,960.75,6.78,6.767,6.428
2014-10-30,7,1319.69,1008.45,6.779,6.693,6.444
2014-10-31,7,1498.08,1072.62,6.869,6.845,6.463
2014-11-01,7,1279.35,998.27,6.91,6.851,6.483
2014-11-02,7,1215.49,931.64,6.818,6.836,6.507
2014-11-03,7,1193.07,969.07,6.846,6.789,6.533
2014-11-04,7,1420.05,965.96,6.942,6.744,6.563
2014-11-05,7,1015.93,905.18,6.661,6.656,6.597
2014-11-06,7,1071.89,888.41,6.79,6.717,6.634
2014-11-07,7,1049.5,925.15,6.986,6.922,6.677
2014-11-08,7,1094.92,950.32,6.813,6.779,6.724
2014-11-09,7,894.93,860.22,6.968,6.846,6.776
2014-11-10,7,890.54,885.9,7.016,6.97,6.834
2014-11-11,7,1199.96,925.62,7.3,7.277,6.898
2014-11-12,7,1103.0,901.46,7.181,7.149,6.969
2014-11-13,7,1186.82,943.99,7.278,7.198,7.048
2014-11-14,7,979.33,839.47,7.336,7.336,7.133
2014-11-15,7,1180.7,965.69,7.53,7.43,7.226
2014-11-16,7,1162.72,824.12,7.672,7.59,7.328
2014-11-17,7,1201.45,801.62,7.71,7.653,7.437
2014-11-18,7,1355.49,865.4,8.201,8.165,7.555
2014-11-19,7,1406.04,822.74,8.294,8.228,7.682
2014-11-20,7,1466.32,856.25,8.502,8.513,7.817
2014-11-21,7,1473.22,850.4,8.579,8.544,7.96
2014-11-22,7,1630.93,841.72,8.806,8.759,8.111
2014-11-23,7,1469.45,814.94,8.959,8.922,8.271
2014-11-24,7,1703.64,855.69,9.292,9.279,8.437
2014-11-25,7,1632.44,825.85,9.392,9.354,8.61
2014-11-26,7,1745.64,872.31,9.597,9.457,8.789
2014-11-27,7,1789.18,824.4,9.78,9.784,8.973
2014-11-28,7,1702.23,794.33,10.0,9.956,9.16
2014-11-29,7,1665.52,766.76,10.288,10.273,9.351
2014-11-30,7,1922.7,817.89,10.565,10.494,9.543
2014-12-01,7,1867.84,777.95,10.674,10.533,9.735
2014-12-02,7,1901.84,773.97,10.967,10.803,9.925
2014-12-03,7,1769.38,838.9,11.197,11.099,10.113
2014-12-04,7,1904.4,757.83,11.43,11.406,10.296
2014-12-05,7,2217.34,869.48,11.476,11.491,10.473
2014-12-06,7,1952.18,826.03,11.542,11.507,10.643
2014-12-07,7,2020.24,819.68,11.697,11.595,10.803
2014-12-08,7,1951.91,786.16,11.987,11.898,10.952
2014-12-09,7,2176.18,850.67,12.076,12.094,11.089
2014-12-10,7,2080.76,825.72,12.255,12.14,11.213
2014-12-11,7,2165.88,804.08,12.328,12.383,11.321
2014-12-12,7,2230.9,837.71,12.5,12.544,11.413
2014-12-13,7,2065.19,774.78,12.531,12.588,11.489
2014-12-14,7,2087.35,779.72,12.749,12.718,11.546
2014-12-15,7,2195.24,801.34,12.772,12.705,11.586
2014-12-16,7,2340.17,856.66,12.769,12.737,11.607
2014-12-17,7,2238.12,848.46,12.733,12.728,11.609
2014-12-18,7,2612.82,889.69,12.772,12.689,11.593
2014-12-19,7,2357.4,825.41,12.854,12.749,11.558
2014-12-20,7,2624.83,882.56,12.764,12.7,11.506
2014-12-21,7,2488.17,863.48,12.759,12.67,11.437
2014-12-22,7,2276.51,839.63,12.683,12.695,11.351
2014-12-23,7,2594.46,891.43,12.536,12.455,11.251
2014-12-24,7,2214.83,881.06,12.471,12.425,11.137
2014-12-25,7,2329.11,866.85,12.169,12.168,11.011
2014-12-26,7,2266.98,895.89,11.997,12.011,10.873
2014-12-27,7,2403.26,895.47,11.949,11.91,10.727
2014-12-28,7,2248.67,900.2,11.69,11.659,10.572
2014-12-29,7,2113.22,896.69,11.461,11.36,10.411
2014-12-30,7,2037.86,870.96,11.426,11.427,10.246
2014-12-31,7,2074.87,924.67,11.119,11.132,10.078
2015-01-01,7,1992.76,899.27,10.85,10.706,9.908
2015-01-02,7,1931.39,896.83,10.602,10.641,9.739
2015-01-03,7,1913.7,929.13,10.558,10.473,9.57
2015-01-04,7,2015.67,968.08,10.265,10.245,9.405
2015-01-05,7,1939.3,953.52,10.053,10.006,9.243
2015-01-06,7,1741.09,932.83,9.912,9.859,9.086
2015-01-07,7,1645.71,935.58,9.743,9.683,8.934
2015-01-08,7,1614.18,981.71,9.339,9.239,8.789
2015-01-09,7,1417.2,879.16,9.197,9.173,8.651
2015-01-10,7,1571.34,994.23,9.002,8.938,8.521
2015-01-11,7,1374.86,903.69,8.86,8.745,8.399
2015-01-12,7,1439.89,922.36,8.617,8.515,8.285
2015-01-13,7,1411.11,956.18,8.69,8.575,8.179
2015-01-14,7,1655.86,1052.04,8.326,8.25,8.081
2015-01-15,7,1631.11,1036.33,8.339,8.313,7.992
2015-01-16,7,1158.29,1003.51,8.106,8.021,7.91
2015-01-17,7,1082.08,992.04,8.114,8.113,7.837
2015-01-18,7,1335.68,914.77,8.195,8.139,7.771
2015-01-19,7,1456.15,985.44,8.178,8.113,7.712
2015-01-20,7,1354.23,960.34,8.129,8.08,7.661
2015-01-21,7,1381.2,950.2,7.968,7.988,7.615
2015-01-22,7,1335.72,983.04,7.992,7.874,7.576
2015-01-23,7,1256.9,959.6,8.063,8.096,7.542
2015-01-24,7,1314.62,1004.6,7.809,7.807,7.513
2015-01-25,7,1197.35,904.15,7.815,7.764,7.489
2015-01-26,7,1358.23,971.91,7.926,7.935,7.469
2015-01-27,7,1199.47,935.55,7.841,7.775,7.453
2015-01-28,7,1223.93,948.7,7.83,7.794,7.441
2015-01-29,7,1311.68,970.11,7.886,7.809,7.431
2015-01-30,7,1177.43,916.47,7.73,7.728,7.424
2015-01-31,7,1325.68,957.17,7.744,7.659,7.42
2015-02-01,7,1144.27,939.59,7.729,7.677,7.417
2015-02-02,7,1100.25,919.27,7.75,7.734,7.417
2015-02-03,7,1205.77,921.09,7.884,7.887,7.418
2015-02-04,7,1218.68,927.13,7.642,7.551,7.42
2015-02-05,7,892.16,900.49,7.485,7.472,7.424
2015-02-06,7,1075.06,922.3,7.474,7.375,7.428
2015-02-07,7,1097.91,906.9,7.7,7.542,7.434
2015-02-08,7,894.32,889.74,7.544,7.456,7.439
2015-02-09,7,1127.84,961.22,7.572,7.564,7.446
2015-02-10,7,789.18,914.53,7.476,7.425,7.453
2015-02-11,7,1003.4,881.02,7.591,7.514,7.46
2015-02-12,7,879.33,893.97,7.688,7.641,7.467
2015-02-13,7,957.48,847.43,7.646,7.597,7.475
2015-02-14,7,840.67,862.66,7.625,7.606,7.483
2015-02-15,7,900.75,861.44,7.516,7.385,7.491
2015-02-16,7,812.35,823.82,7.623,7.568,7.498
2015-02-17,7,905.41,876.0,7.668,7.625,7.506
2015-02-18,7,1190.09,839.91,7.785,7.667,7.514
2015-02-19,7,1060.57,840.54,7.925,7.806,7.522
2015-02-20,7,1192.58,828.67,7.951,7.882,7.53
2015-02-21,7,1174.93,948.0,7.845,7.795,7.537
2015-02-22,7,1135.74,817.36,7.953,7.903,7.545
2015-02-23,7,871.66,764.56,7.893,7.815,7.552
2015-02-24,7,969.91,777.68,8.001,7.921,7.559
2015-02-25,7,1052.07,857.29,8.079,8.009,7.566
2015-02-26,7,1218.77,874.87,7.836,7.801,7.573
2015-02-27,7,1030.42,801.96,7.992,8.004,7.58
2015-02-28,7,958.14,868.68,8.041,7.88,7.587
2015-03-01,7,988.49,848.33,7.865,7.847,7.593
2015-03-02,7,968.55,814.58,7.903,7.848,7.599
2015-03-03,7,1091.02,811.32,7.909,7.885,7.606
2015-03-04,7,1102.73,826.38,7.951,7.96,7.611
2015-03-05,7,1060.03,850.76,7.939,7.851,7.617
2015-03-06,7,1023.01,834.34,7.957,7.954,7.623
2015-03-07,7,1058.57,797.53,8.045,7.933,7.628
2015-03-08,7,783.34,816.28,7.632,7.588,7.633
2015-03-09,7,970.63,893.26,7.711,7.648,7.638
2015-03-10,7,901.22,834.62,7.847,7.799,7.643
2015-03-11,7,882.59,858.52,7.842,7.743,7.648
2015-03-12,7,919.13,849.61,7.718,7.69,7.652
2015-03-13,7,892.29,843.24,7.851,7.881,7.657
2015-03-14,7,916.26,840.76,7.917,7.818,7.661
2015-03-15,7,822.49,871.96,7.811,7.77,7.665
2015-03-16,7,955.81,869.58,7.738,7.73,7.668
2015-03-17,7,971.15,857.81,7.892,7.827,7.672
2015-03-18,7,1073.72,828.7,8.163,8.181,7.675
2015-03-19,7,1148.2,871.1,7.957,7.886,7.678
2015-03-20,7,1084.76,860.1,8.034,7.978,7.681
2015-03-21,7,1149.06,856.67,8.121,8.021,7.684
2015-03-22,7,1232.37,966.4,8.045,8.002,7.686
2015-03-23,7,970.9,824.08,7.899,7.849,7.688
2015-03-24,7,1224.65,916.92,8.076,8.058,7.691
2015-03-25,7,978.26,858.67,7.964,7.882,7.692
2015-03-26,7,1162.08,899.01,7.942,7.858,7.694
2015-03-27,7,1226.75,989.9,7.907,7.88,7.696
2015-03-28,7,1076.05,871.9,8.142,8.162,7.697
2015-03-29,7,1137.15,885.8,7.981,7.963,7.698
2015-03-30,7,1111.37,916.02,8.075,8.118,7.699
2015-03-31,7,1169.91,892.4,8.096,8.073,7.699
2015-04-01,7,1221.4,958.3,8.063,8.039,7.7
2015-04-02,7,1115.44,913.83,8.074,8.058,7.7
2015-04-03,7,1322.59,960.45,8.08,8.105,7.7
2015-04-04,7,1152.43,895.87,8.061,8.073,7.7
2015-04-05,7,1167.0,883.78,7.989,7.884,7.699
2015-04-06,7,1305.04,943.41,7.981,7.971,7.699
2015-04-07,7,1244.75,900.67,8.04,8.003,7.698
2015-04-08,7,1110.19,1012.59,7.837,7.777,7.697
2015-04-09,7,932.95,909.5,7.88,7.741,7.696
2015-04-10,7,870.13,930.0,7.932,7.805,7.694
2015-04-11,7,1049.21,983.76,7.87,7.802,7.693
2015-04-12,7,1082.26,951.38,7.776,7.653,7.691
